1583
(-3143,-4106)
(-3140,-4106)
(-3137,-4130)
(-3132,-4139)
(-3129,-4154)
(-3129,-4168)
(-3120,-4200)
(-3120,-4315)
(-3119,-4316)
(-3118,-4318)
(-3114,-4316)
(-3111,-4318)
(-3104,-4328)
(-3102,-4337)
(-3095,-4340)
(-3095,-4345)
(-3094,-4346)
(-3091,-4345)
(-3089,-4340)
(-3086,-4340)
(-3084,-4339)
(-3078,-4339)
(-3075,-4335)
(-3073,-4336)
(-3070,-4342)
(-3067,-4344)
(-3062,-4340)
(-3062,-4337)
(-3061,-4336)
(-3051,-4335)
(-3045,-4340)
(-3039,-4338)
(-3038,-4341)
(-3037,-4342)
(-3037,-4345)
(-3036,-4350)
(-3037,-4352)
(-3040,-4355)
(-3040,-4358)
(-3037,-4365)
(-3040,-4374)
(-3045,-4381)
(-3046,-4387)
(-3045,-4390)
(-3039,-4390)
(-3034,-4395)
(-3019,-4397)
(-3015,-4400)
(-3008,-4412)
(-3006,-4412)
(-3000,-4408)
(-2995,-4414)
(-2994,-4412)
(-2991,-4412)
(-2987,-4407)
(-2981,-4412)
(-2977,-4411)
(-2972,-4415)
(-2970,-4412)
(-2966,-4412)
(-2963,-4407)
(-2959,-4408)
(-2958,-4388)
(-2957,-4388)
(-2956,-4385)
(-2955,-4390)
(-2953,-4391)
(-2948,-4385)
(-2944,-4385)
(-2939,-4380)
(-2937,-4375)
(-2936,-4365)
(-2928,-4354)
(-2923,-4353)
(-2909,-4356)
(-2907,-4354)
(-2904,-4344)
(-2901,-4342)
(-2901,-4337)
(-2897,-4339)
(-2892,-4338)
(-2885,-4339)
(-2883,-4343)
(-2881,-4344)
(-2880,-4348)
(-2876,-4352)
(-2865,-4347)
(-2856,-4340)
(-2850,-4338)
(-2849,-4341)
(-2848,-4342)
(-2846,-4340)
(-2845,-4338)
(-2845,-4330)
(-2843,-4328)
(-2841,-4325)
(-2836,-4321)
(-2833,-4322)
(-2832,-4322)
(-2832,-4321)
(-2833,-4317)
(-2834,-4315)
(-2833,-4312)
(-2829,-4312)
(-2824,-4320)
(-2823,-4320)
(-2820,-4314)
(-2817,-4318)
(-2811,-4315)
(-2809,-4316)
(-2808,-4315)
(-2807,-4309)
(-2804,-4306)
(-2803,-4302)
(-2801,-4300)
(-2795,-4301)
(-2792,-4300)
(-2783,-4305)
(-2775,-4305)
(-2773,-4306)
(-2772,-4310)
(-2770,-4312)
(-2769,-4314)
(-2768,-4313)
(-2767,-4306)
(-2761,-4300)
(-2758,-4296)
(-2754,-4298)
(-2751,-4306)
(-2747,-4304)
(-2744,-4307)
(-2742,-4306)
(-2739,-4307)
(-2736,-4304)
(-2734,-4305)
(-2733,-4304)
(-2732,-4301)
(-2732,-4292)
(-2730,-4289)
(-2729,-4288)
(-2725,-4290)
(-2722,-4282)
(-2719,-4278)
(-2718,-4278)
(-2713,-4280)
(-2711,-4284)
(-2710,-4287)
(-2699,-4294)
(-2699,-4301)
(-2696,-4305)
(-2696,-4308)
(-2697,-4312)
(-2695,-4318)
(-2694,-4324)
(-2686,-4325)
(-2685,-4323)
(-2687,-4317)
(-2687,-4314)
(-2688,-4310)
(-2685,-4307)
(-2687,-4299)
(-2685,-4290)
(-2688,-4282)
(-2688,-4277)
(-2685,-4273)
(-2679,-4274)
(-2676,-4272)
(-2675,-4268)
(-2672,-4266)
(-2670,-4269)
(-2667,-4269)
(-2666,-4272)
(-2665,-4282)
(-2664,-4285)
(-2665,-4298)
(-2663,-4303)
(-2664,-4306)
(-2664,-4308)
(-2662,-4311)
(-2659,-4308)
(-2656,-4309)
(-2652,-4308)
(-2648,-4311)
(-2646,-4311)
(-2644,-4305)
(-2638,-4299)
(-2635,-4299)
(-2630,-4305)
(-2626,-4304)
(-2627,-4307)
(-2626,-4309)
(-2624,-4308)
(-2621,-4301)
(-2616,-4302)
(-2615,-4306)
(-2613,-4307)
(-2612,-4312)
(-2610,-4311)
(-2608,-4311)
(-2607,-4317)
(-2605,-4315)
(-2603,-4316)
(-2602,-4314)
(-2599,-4314)
(-2598,-4309)
(-2598,-4305)
(-2591,-4304)
(-2590,-4305)
(-2588,-4310)
(-2587,-4319)
(-2586,-4323)
(-2581,-4328)
(-2571,-4326)
(-2563,-4327)
(-2560,-4328)
(-2557,-4327)
(-2555,-4328)
(-2552,-4327)
(-2549,-4322)
(-2546,-4324)
(-2541,-4323)
(-2537,-4328)
(-2533,-4324)
(-2530,-4323)
(-2528,-4321)
(-2528,-4318)
(-2531,-4316)
(-2531,-4315)
(-2528,-4312)
(-2528,-4307)
(-2526,-4304)
(-2522,-4304)
(-2519,-4306)
(-2517,-4306)
(-2512,-4307)
(-2507,-4311)
(-2503,-4311)
(-2499,-4315)
(-2497,-4314)
(-2495,-4310)
(-2491,-4313)
(-2486,-4312)
(-2482,-4314)
(-2475,-4312)
(-2471,-4313)
(-2469,-4311)
(-2464,-4310)
(-2461,-4312)
(-2457,-4310)
(-2454,-4311)
(-2451,-4314)
(-2444,-4317)
(-2438,-4311)
(-2435,-4310)
(-2433,-4311)
(-2425,-4307)
(-2424,-4306)
(-2426,-4303)
(-2420,-4300)
(-2418,-4300)
(-2417,-4302)
(-2418,-4303)
(-2418,-4304)
(-2412,-4309)
(-2411,-4308)
(-2407,-4307)
(-2406,-4308)
(-2405,-4307)
(-2405,-4305)
(-2406,-4300)
(-2401,-4300)
(-2395,-4296)
(-2393,-4297)
(-2391,-4300)
(-2383,-4302)
(-2381,-4301)
(-2378,-4303)
(-2375,-4302)
(-2374,-4300)
(-2377,-4297)
(-2377,-4293)
(-2377,-4291)
(-2376,-4289)
(-2373,-4289)
(-2372,-4292)
(-2369,-4289)
(-2366,-4287)
(-2363,-4288)
(-2360,-4284)
(-2354,-4283)
(-2342,-4285)
(-2335,-4284)
(-2330,-4274)
(-2328,-4274)
(-2328,-4268)
(-2326,-4266)
(-2325,-4263)
(-2325,-4256)
(-2322,-4254)
(-2321,-4252)
(-2318,-4253)
(-2317,-4251)
(-2314,-4249)
(-2311,-4250)
(-2309,-4255)
(-2305,-4258)
(-2294,-4261)
(-2290,-4260)
(-2287,-4261)
(-2284,-4260)
(-2282,-4262)
(-2262,-4271)
(-2257,-4270)
(-2255,-4267)
(-2253,-4268)
(-2248,-4266)
