2628
(-3143,-4106)
(-3143,-4107)
(-3140,-4108)
(-3140,-4110)
(-3140,-4115)
(-3138,-4125)
(-3138,-4129)
(-3137,-4136)
(-3135,-4142)
(-3133,-4147)
(-3132,-4153)
(-3132,-4156)
(-3135,-4166)
(-3137,-4169)
(-3143,-4170)
(-3145,-4173)
(-3147,-4173)
(-3152,-4180)
(-3151,-4187)
(-3149,-4189)
(-3149,-4191)
(-3152,-4197)
(-3155,-4210)
(-3159,-4213)
(-3158,-4220)
(-3162,-4231)
(-3162,-4233)
(-3159,-4230)
(-3159,-4232)
(-3160,-4235)
(-3162,-4235)
(-3161,-4237)
(-3163,-4241)
(-3163,-4243)
(-3162,-4243)
(-3163,-4246)
(-3164,-4248)
(-3163,-4251)
(-3164,-4251)
(-3165,-4248)
(-3167,-4248)
(-3167,-4244)
(-3169,-4249)
(-3172,-4250)
(-3174,-4253)
(-3175,-4249)
(-3178,-4248)
(-3188,-4253)
(-3192,-4257)
(-3198,-4257)
(-3202,-4259)
(-3206,-4259)
(-3216,-4256)
(-3219,-4257)
(-3221,-4259)
(-3226,-4259)
(-3230,-4263)
(-3233,-4277)
(-3230,-4287)
(-3228,-4302)
(-3224,-4312)
(-3221,-4312)
(-3224,-4316)
(-3221,-4319)
(-3220,-4321)
(-3223,-4322)
(-3221,-4327)
(-3217,-4332)
(-3215,-4337)
(-3212,-4338)
(-3212,-4341)
(-3204,-4347)
(-3202,-4344)
(-3199,-4345)
(-3195,-4338)
(-3195,-4336)
(-3196,-4330)
(-3195,-4327)
(-3200,-4325)
(-3203,-4325)
(-3204,-4327)
(-3203,-4328)
(-3205,-4329)
(-3206,-4334)
(-3207,-4331)
(-3205,-4325)
(-3204,-4323)
(-3203,-4320)
(-3197,-4321)
(-3194,-4320)
(-3193,-4319)
(-3194,-4315)
(-3193,-4311)
(-3195,-4310)
(-3207,-4307)
(-3209,-4311)
(-3212,-4320)
(-3214,-4320)
(-3214,-4319)
