3796
(-2024,-3202)
(-2024,-3205)
(-2021,-3206)
(-2021,-3210)
(-2020,-3212)
(-2005,-3210)
(-1992,-3212)
(-1989,-3211)
(-1984,-3208)
(-1978,-3198)
(-1973,-3197)
(-1969,-3191)
(-1963,-3186)
(-1958,-3191)
(-1956,-3196)
(-1956,-3198)
(-1954,-3204)
(-1950,-3208)
(-1946,-3214)
(-1942,-3218)
(-1938,-3219)
(-1936,-3218)
(-1932,-3220)
(-1931,-3222)
(-1926,-3224)
(-1923,-3225)
(-1923,-3228)
(-1921,-3232)
(-1918,-3233)
(-1916,-3236)
(-1916,-3240)
(-1914,-3241)
(-1912,-3244)
(-1915,-3247)
(-1915,-3249)
(-1907,-3259)
(-1903,-3263)
(-1900,-3268)
(-1895,-3268)
(-1890,-3274)
(-1888,-3275)
(-1885,-3290)
(-1883,-3293)
(-1882,-3296)
(-1876,-3301)
(-1877,-3303)
(-1879,-3303)
(-1880,-3305)
(-1876,-3309)
(-1875,-3313)
(-1874,-3315)
(-1869,-3317)
(-1868,-3320)
(-1865,-3320)
(-1862,-3321)
(-1860,-3324)
(-1858,-3325)
(-1857,-3328)
(-1851,-3335)
(-1851,-3337)
(-1852,-3338)
(-1857,-3338)
(-1857,-3343)
(-1861,-3345)
(-1863,-3349)
(-1864,-3350)
(-1865,-3360)
(-1856,-3360)
(-1852,-3359)
(-1848,-3360)
(-1844,-3365)
(-1841,-3367)
(-1839,-3370)
(-1836,-3371)
(-1835,-3373)
(-1834,-3373)
(-1829,-3382)
(-1825,-3385)
(-1823,-3389)
(-1818,-3394)
(-1818,-3397)
(-1815,-3397)
(-1814,-3398)
(-1810,-3406)
(-1807,-3408)
(-1806,-3412)
(-1807,-3414)
(-1806,-3416)
(-1807,-3425)
(-1811,-3429)
(-1814,-3429)
(-1818,-3433)
(-1818,-3434)
(-1817,-3435)
(-1818,-3437)
(-1816,-3440)
(-1817,-3442)
(-1818,-3444)
(-1816,-3446)
(-1816,-3448)
(-1817,-3450)
(-1814,-3454)
(-1814,-3458)
(-1811,-3458)
(-1810,-3453)
(-1808,-3450)
(-1802,-3445)
(-1799,-3440)
(-1792,-3439)
(-1789,-3437)
(-1787,-3434)
(-1787,-3428)
(-1786,-3426)
(-1778,-3418)
(-1776,-3418)
(-1769,-3410)
(-1765,-3407)
(-1763,-3406)
(-1761,-3402)
(-1756,-3399)
(-1752,-3399)
(-1750,-3397)
(-1746,-3391)
(-1744,-3386)
(-1738,-3384)
(-1735,-3380)
(-1734,-3378)
(-1727,-3377)
(-1726,-3372)
(-1720,-3367)
(-1716,-3361)
(-1715,-3361)
(-1712,-3362)
(-1710,-3361)
(-1709,-3357)
(-1708,-3354)
(-1705,-3354)
(-1702,-3353)
(-1701,-3350)
(-1702,-3344)
(-1704,-3343)
(-1705,-3342)
(-1701,-3340)
(-1699,-3340)
(-1698,-3341)
(-1696,-3346)
(-1694,-3346)
(-1692,-3341)
(-1690,-3338)
(-1687,-3337)
(-1687,-3335)
(-1689,-3335)
(-1689,-3334)
(-1685,-3330)
(-1684,-3329)
(-1685,-3329)
(-1685,-3327)
(-1682,-3323)
(-1679,-3323)
(-1678,-3320)
