4096
(-5101,-9929)
(-5103,-9883)
(-5105,-9811)
(-5114,-9759)
(-5117,-9703)
(-5119,-9676)
(-5119,-9607)
(-5120,-9561)
(-5127,-9450)
(-5127,-9434)
(-5122,-9340)
(-5120,-9291)
(-5120,-9146)
(-5122,-9118)
(-5127,-9071)
(-5128,-9030)
(-5126,-8988)
(-5118,-8984)
(-5108,-8937)
(-5106,-8903)
(-5107,-8751)
(-5109,-8624)
(-5114,-8458)
(-5115,-8403)
(-5114,-8367)
(-5113,-8348)
(-5105,-8346)
(-5099,-8317)
(-5098,-8322)
(-5093,-8418)
(-5093,-8446)
(-5092,-8479)
(-5091,-8511)
(-5090,-8543)
(-5089,-8576)
(-5088,-8608)
(-5087,-8640)
(-5086,-8672)
(-5085,-8703)
(-5084,-8735)
(-5082,-8766)
(-5081,-8798)
(-5080,-8829)
(-5079,-8860)
(-5078,-8890)
(-5076,-8920)
(-5075,-8933)
(-5067,-9037)
(-5062,-9087)
(-5056,-9119)
(-5042,-9180)
(-5035,-9194)
(-5028,-9193)
(-5022,-9180)
(-5015,-9176)
(-4989,-9183)
(-4976,-9163)
(-4963,-9116)
(-4957,-9107)
(-4954,-9109)
(-4948,-9132)
(-4941,-9175)
(-4928,-9237)
(-4924,-9266)
(-4918,-9267)
(-4914,-9294)
(-4908,-9285)
(-4899,-9240)
(-4895,-9245)
(-4890,-9270)
(-4883,-9325)
(-4880,-9354)
(-4879,-9397)
(-4878,-9413)
(-4875,-9418)
(-4868,-9403)
(-4865,-9388)
(-4860,-9311)
(-4860,-9288)
(-4864,-9220)
(-4865,-9184)
(-4867,-9154)
(-4868,-9108)
(-4869,-9095)
(-4877,-9064)
(-4880,-9027)
(-4881,-8995)
(-4881,-8924)
(-4885,-8811)
(-4884,-8779)
(-4883,-8749)
(-4874,-8696)
(-4863,-8659)
(-4851,-8636)
(-4842,-8635)
(-4838,-8641)
(-4835,-8657)
(-4828,-8727)
(-4820,-8774)
(-4808,-8813)
(-4793,-8837)
(-4789,-8846)
(-4787,-8855)
(-4786,-8867)
(-4782,-8982)
(-4777,-9013)
(-4773,-9050)
(-4766,-9138)
(-4764,-9156)
(-4762,-9176)
(-4749,-9241)
(-4748,-9263)
(-4749,-9288)
(-4748,-9315)
(-4745,-9344)
(-4741,-9366)
(-4734,-9381)
(-4731,-9382)
(-4725,-9379)
(-4717,-9363)
(-4711,-9330)
(-4705,-9252)
(-4701,-9241)
(-4693,-9231)
(-4688,-9237)
(-4684,-9266)
(-4689,-9302)
(-4690,-9362)
(-4694,-9377)
(-4695,-9387)
(-4695,-9395)
(-4692,-9402)
(-4686,-9437)
(-4682,-9446)
(-4681,-9461)
(-4679,-9471)
(-4676,-9479)
(-4671,-9484)
(-4668,-9477)
(-4660,-9473)
(-4654,-9462)
(-4650,-9468)
(-4646,-9460)
(-4643,-9469)
(-4640,-9472)
(-4637,-9471)
(-4634,-9464)
(-4629,-9472)
(-4626,-9461)
(-4626,-9445)
(-4631,-9436)
(-4635,-9424)
(-4637,-9411)
(-4640,-9404)
(-4642,-9389)
(-4635,-9364)
(-4631,-9374)
(-4629,-9371)
(-4626,-9359)
(-4625,-9347)
(-4625,-9334)
(-4627,-9314)
(-4625,-9302)
(-4629,-9294)
(-4628,-9277)
(-4629,-9267)
(-4631,-9253)
(-4630,-9236)
(-4631,-9229)
(-4633,-9220)
(-4635,-9199)
(-4637,-9186)
(-4642,-9179)
(-4643,-9184)
(-4644,-9199)
(-4646,-9200)
(-4647,-9196)
(-4647,-9175)
(-4649,-9145)
(-4648,-9139)
(-4647,-9139)
(-4644,-9132)
(-4638,-9131)
(-4637,-9126)
(-4638,-9108)
(-4640,-9097)
(-4643,-9073)
(-4645,-9067)
(-4649,-9070)
(-4649,-9061)
(-4656,-9026)
(-4663,-9000)
(-4666,-8983)
(-4666,-8970)
(-4665,-8960)
(-4661,-8944)
(-4660,-8960)
(-4657,-8969)
(-4656,-8971)
(-4654,-8967)
(-4655,-8949)
(-4658,-8929)
(-4656,-8916)
(-4654,-8915)
(-4650,-8916)
(-4647,-8882)
(-4647,-8868)
(-4646,-8856)
(-4639,-8852)
(-4638,-8848)
(-4640,-8832)
(-4642,-8831)
(-4643,-8827)
(-4642,-8825)
(-4635,-8828)
(-4633,-8820)
(-4633,-8812)
(-4639,-8793)
(-4648,-8779)
(-4648,-8773)
(-4645,-8761)
(-4641,-8762)
(-4639,-8754)
(-4638,-8753)
(-4634,-8770)
(-4629,-8775)
(-4630,-8764)
(-4629,-8759)
(-4627,-8755)
(-4627,-8750)
(-4625,-8754)
(-4623,-8771)
(-4620,-8779)
(-4619,-8774)
(-4620,-8755)
(-4621,-8740)
(-4623,-8724)
(-4622,-8718)
(-4621,-8723)
(-4620,-8722)
(-4616,-8726)
(-4615,-8731)
(-4615,-8745)
(-4611,-8767)
(-4610,-8763)
(-4608,-8732)
(-4607,-8727)
(-4604,-8730)
(-4599,-8769)
(-4592,-8792)
(-4587,-8817)
(-4587,-8837)
(-4585,-8873)
(-4587,-8885)
(-4590,-8890)
(-4590,-8895)
(-4586,-8967)
(-4583,-8970)
(-4581,-8969)
(-4578,-8960)
(-4577,-8949)
(-4577,-8934)
(-4574,-8905)
(-4571,-8913)
(-4567,-8900)
(-4567,-8879)
(-4570,-8865)
(-4574,-8828)
(-4578,-8816)
(-4582,-8794)
(-4583,-8781)
(-4587,-8743)
(-4586,-8725)
(-4582,-8723)
(-4580,-8726)
(-4578,-8729)
(-4577,-8744)
(-4576,-8753)
(-4568,-8770)
(-4565,-8784)
(-4560,-8772)
(-4556,-8767)
(-4554,-8761)
(-4554,-8755)
(-4555,-8712)
(-4554,-8703)
(-4552,-8686)
(-4552,-8668)
(-4550,-8659)
(-4550,-8650)
(-4545,-8656)
(-4541,-8656)
(-4540,-8654)
(-4539,-8636)
(-4535,-8601)
(-4537,-8592)
(-4537,-8581)
(-4539,-8567)
(-4537,-8560)
(-4532,-8561)
(-4530,-8556)
(-4532,-8533)
(-4530,-8531)
(-4529,-8523)
(-4528,-8500)
(-4530,-8496)
(-4533,-8492)
(-4534,-8468)
(-4533,-8448)
(-4532,-8444)
(-4528,-8445)
(-4526,-8437)
(-4524,-8439)
(-4522,-8437)
(-4520,-8430)
(-4522,-8413)
(-4521,-8409)
(-4519,-8403)
(-4515,-8405)
(-4510,-8390)
(-4510,-8360)
(-4508,-8327)
(-4510,-8319)
(-4518,-8306)
(-4522,-8292)
(-4522,-8282)
(-4516,-8264)
(-4513,-8259)
(-4511,-8267)
(-4505,-8272)
(-4498,-8236)
(-4493,-8222)
(-4489,-8226)
(-4483,-8226)
(-4483,-8207)
(-4479,-8188)
(-4480,-8167)
(-4477,-8159)
(-4477,-8150)
(-4477,-8148)
(-4473,-8143)
(-4469,-8129)
(-4470,-8104)
(-4471,-8096)
(-4474,-8090)
(-4474,-8080)
(-4472,-8051)
(-4475,-8057)
(-4478,-8057)
(-4480,-8053)
(-4482,-8041)
(-4489,-8046)
(-4491,-8034)
(-4489,-8029)
(-4489,-8025)
(-4491,-8019)
(-4489,-8007)
(-4488,-7986)
(-4484,-7957)
(-4487,-7940)
(-4484,-7926)
(-4484,-7913)
(-4484,-7903)
(-4488,-7885)
(-4487,-7850)
(-4487,-7827)
(-4491,-7806)
(-4492,-7783)
(-4490,-7760)
(-4490,-7747)
(-4487,-7732)
(-4487,-7719)
(-4484,-7706)
(-4482,-7681)
(-4481,-7671)
(-4481,-7650)
(-4479,-7641)
(-4480,-7630)
(-4479,-7614)
(-4479,-7604)
(-4480,-7592)
(-4486,-7571)
(-4487,-7564)
(-4480,-7480)
(-4481,-7449)
(-4480,-7428)
(-4478,-7401)
(-4479,-7367)
(-4475,-7326)
(-4476,-7301)
(-4476,-7258)
(-4475,-7251)
(-4472,-7241)
(-4471,-7235)
(-4471,-7229)
(-4473,-7221)
(-4474,-7201)
(-4469,-7139)
(-4471,-7119)
(-4464,-7095)
(-4458,-7082)
(-4454,-7069)
(-4455,-7063)
(-4461,-7055)
(-4462,-7044)
(-4463,-7036)
(-4468,-7034)
(-4468,-7026)
(-4471,-7012)
(-4471,-6989)
(-4471,-6984)
(-4469,-6972)
(-4469,-6954)
(-4464,-6953)
(-4462,-6945)
(-4463,-6943)
(-4466,-6943)
(-4469,-6928)
(-4469,-6916)
(-4467,-6899)
(-4468,-6883)
