229
(-1947,-3492)
(-1939,-3486)
(-1935,-3486)
(-1930,-3491)
(-1926,-3489)
(-1920,-3489)
(-1917,-3490)
(-1913,-3492)
(-1910,-3490)
(-1909,-3484)
(-1907,-3482)
(-1895,-3479)
(-1892,-3480)
(-1889,-3484)
(-1888,-3485)
(-1884,-3479)
(-1880,-3479)
(-1877,-3476)
(-1874,-3474)
(-1869,-3475)
(-1864,-3471)
(-1861,-3472)
(-1856,-3475)
(-1855,-3472)
(-1855,-3469)
(-1853,-3468)
(-1843,-3469)
(-1838,-3471)
(-1836,-3473)
(-1832,-3473)
(-1830,-3472)
(-1821,-3460)
(-1817,-3458)
(-1814,-3458)
(-1814,-3454)
(-1817,-3450)
(-1816,-3448)
(-1816,-3446)
(-1818,-3444)
(-1817,-3442)
(-1816,-3440)
(-1818,-3437)
(-1817,-3435)
(-1818,-3434)
(-1818,-3433)
(-1814,-3429)
(-1811,-3429)
(-1807,-3425)
(-1806,-3416)
(-1807,-3414)
(-1806,-3412)
(-1807,-3408)
(-1810,-3406)
(-1814,-3398)
(-1815,-3397)
(-1818,-3397)
(-1818,-3394)
(-1823,-3389)
(-1825,-3385)
(-1829,-3382)
(-1834,-3373)
(-1835,-3373)
(-1836,-3371)
(-1839,-3370)
(-1841,-3367)
(-1844,-3365)
(-1848,-3360)
(-1852,-3359)
(-1856,-3360)
(-1865,-3360)
(-1864,-3350)
(-1863,-3349)
(-1861,-3345)
(-1857,-3343)
(-1857,-3338)
(-1852,-3338)
(-1851,-3337)
(-1851,-3335)
(-1857,-3328)
(-1858,-3325)
(-1860,-3324)
(-1862,-3321)
(-1865,-3320)
(-1868,-3320)
(-1869,-3317)
(-1874,-3315)
(-1875,-3313)
(-1876,-3309)
(-1880,-3305)
(-1879,-3303)
(-1877,-3303)
(-1876,-3301)
(-1882,-3296)
(-1883,-3293)
(-1885,-3290)
(-1888,-3275)
(-1890,-3274)
(-1895,-3268)
(-1900,-3268)
(-1903,-3263)
(-1907,-3259)
(-1915,-3249)
(-1915,-3247)
(-1912,-3244)
(-1914,-3241)
(-1916,-3240)
(-1916,-3236)
(-1918,-3233)
(-1921,-3232)
(-1923,-3228)
(-1923,-3225)
(-1926,-3224)
(-1931,-3222)
(-1932,-3220)
(-1936,-3218)
(-1938,-3219)
(-1942,-3218)
(-1946,-3214)
(-1950,-3208)
(-1954,-3204)
(-1956,-3198)
(-1956,-3196)
(-1958,-3191)
(-1963,-3186)
(-1969,-3191)
(-1973,-3197)
(-1978,-3198)
(-1984,-3208)
(-1989,-3211)
(-1992,-3212)
(-2005,-3210)
(-2020,-3212)
(-2021,-3210)
(-2021,-3206)
(-2024,-3205)
(-2024,-3202)
(-2027,-3205)
(-2031,-3209)
(-2044,-3212)
(-2051,-3222)
(-2055,-3225)
(-2060,-3227)
(-2063,-3226)
(-2066,-3232)
(-2070,-3239)
(-2076,-3246)
(-2078,-3249)
(-2080,-3249)
(-2081,-3255)
(-2080,-3254)
(-2077,-3255)
(-2075,-3255)
(-2074,-3259)
(-2076,-3257)
(-2079,-3261)
(-2079,-3258)
(-2081,-3257)
(-2082,-3257)
(-2089,-3275)
(-2091,-3278)
(-2092,-3281)
(-2095,-3288)
(-2097,-3294)
(-2099,-3297)
(-2096,-3297)
(-2095,-3302)
(-2094,-3302)
(-2093,-3304)
(-2094,-3315)
(-2094,-3317)
(-2091,-3318)
(-2089,-3322)
(-2088,-3332)
(-2087,-3336)
(-2086,-3342)
(-2087,-3347)
(-2090,-3355)
(-2093,-3361)
(-2095,-3366)
(-2096,-3371)
(-2095,-3372)
(-2094,-3372)
(-2093,-3373)
(-2095,-3376)
(-2095,-3379)
(-2091,-3386)
(-2088,-3382)
(-2086,-3387)
(-2086,-3394)
(-2084,-3397)
(-2083,-3405)
(-2080,-3413)
(-2078,-3415)
(-2073,-3422)
(-2070,-3425)
(-2068,-3426)
(-2067,-3431)
(-2067,-3445)
(-2067,-3447)
(-2068,-3451)
(-2066,-3454)
(-2070,-3470)
(-2062,-3474)
(-2056,-3481)
(-2054,-3484)
(-2051,-3485)
(-2050,-3492)
(-2047,-3493)
(-2040,-3498)
(-2036,-3504)
(-2030,-3506)
(-2021,-3506)
(-2018,-3505)
(-2013,-3506)
(-2007,-3503)
(-2004,-3505)
(-2001,-3504)
(-2000,-3502)
(-1997,-3501)
(-1988,-3502)
(-1987,-3500)
(-1987,-3493)
(-1986,-3489)
(-1982,-3485)
(-1976,-3483)
(-1972,-3484)
(-1968,-3488)
(-1956,-3489)
(-1947,-3492)
